id,yield
15000,7750.9873
15001,6095.2227
15002,4796.7793
15003,6735.7
15004,5569.665
15005,5346.559
15006,5589.2944
15007,3776.1794
15008,5574.161
15009,5722.3223
15010,4345.8447
15011,8112.786
15012,5307.119
15013,6079.782
15014,7533.624
15015,5332.624
15016,5548.5537
15017,5659.2295
15018,7058.3784
15019,5898.694
15020,7208.2847
15021,7222.0156
15022,6212.906
15023,6435.1875
15024,7476.4546
15025,5714.7905
15026,3760.765
15027,7386.284
15028,6934.6655
15029,7489.198
15030,8259.324
15031,7259.783
15032,6081.6113
15033,5727.124
15034,5256.081
15035,6351.844
15036,6380.134
15037,7549.9326
15038,5720.257
15039,8542.181
15040,6418.968
15041,6873.535
15042,5496.255
15043,4643.131
15044,4948.8955
15045,6812.09
15046,8110.1113
15047,4056.8557
15048,6161.713
15049,7378.742
15050,3160.4778
15051,6404.1484
15052,6655.9355
15053,5502.3535
15054,5658.147
15055,5692.3467
15056,6005.4443
15057,6536.0527
15058,6578.0923
15059,6832.0283
15060,6533.548
15061,6799.4526
15062,5217.8467
15063,5329.3013
15064,6394.136
15065,7717.1133
15066,5656.77
15067,5512.341
15068,3801.214
15069,6405.5854
15070,7528.6963
15071,6633.7466
15072,3552.2961
15073,2930.45
15074,7018.7817
15075,4867.399
15076,3926.8738
15077,7009.4805
15078,6109.666
15079,3444.1414
15080,7687.2217
15081,4290.0107
15082,4878.9375
15083,5650.295
15084,5728.7285
15085,6710.9326
15086,6262.5645
15087,6381.0503
15088,5707.819
15089,6463.92
15090,6945.2466
15091,6424.5356
15092,6124.814
15093,4055.302
15094,6008.876
15095,7225.636
15096,6944.966
15097,5862.39
15098,4346.104
15099,4045.2993
15100,7146.1484
15101,5276.244
15102,6385.324
15103,4735.7627
15104,6213.6353
15105,5676.884
15106,4087.6692
15107,4105.5684
15108,8136.025
15109,7018.1987
15110,5770.9795
15111,5121.5703
15112,7910.007
15113,3732.7288
15114,5420.966
15115,5529.779
15116,4658.4473
15117,7064.829
15118,5230.995
15119,7215.2637
15120,6388.208
15121,7006.4307
15122,6183.0757
15123,7148.204
15124,5197.1387
15125,7296.7476
15126,6209.757
15127,6460.5557
15128,5757.763
15129,4015.4824
15130,5742.6826
15131,5355.003
15132,6917.3223
15133,6999.863
15134,6446.075
15135,7299.0146
15136,6612.3047
15137,7082.573
15138,7422.7354
15139,5882.71
15140,7314.002
15141,5320.6816
15142,6814.014
15143,7581.15
15144,5943.897
15145,5985.7695
15146,4035.6184
15147,8078.6104
15148,7674.63
15149,5159.877
15150,6107.1816
15151,7570.699
15152,6895.346
15153,6151.6997
15154,8004.12
15155,5305.2627
15156,4103.762
15157,5299.3467
15158,6210.9746
15159,6952.962
15160,6169.0674
15161,7015.3867
15162,6899.8096
15163,7977.7554
15164,4319.538
15165,4230.747
15166,5680.629
15167,7656.7495
15168,4977.189
15169,7166.6704
15170,5147.7925
15171,7421.0356
15172,4293.626
15173,6331.995
15174,7890.6904
15175,6697.1665
15176,7592.746
15177,4402.446
15178,4051.9019
15179,6398.7476
15180,6899.8486
15181,4271.469
15182,8067.7144
15183,5427.036
15184,5527.0396
15185,6898.031
15186,6018.8184
15187,6618.6006
15188,3167.717
15189,4756.2217
15190,5054.5825
15191,5771.295
15192,4320.5347
15193,6795.08
15194,7389.3135
15195,6991.8457
15196,7442.0127
15197,4481.217
15198,5742.05
15199,5978.337
15200,4249.5103
15201,7060.0586
15202,5198.665
15203,5539.714
15204,6902.702
15205,4614.0293
15206,8224.273
15207,6169.3477
15208,5165.2197
15209,4373.788
15210,8000.1504
15211,5752.292
15212,5467.5483
15213,5384.085
15214,5886.586
15215,4900.536
15216,7266.411
15217,6761.676
15218,6312.5312
15219,6713.381
15220,6717.206
15221,6271.4106
15222,6792.5947
15223,5915.956
15224,6730.9814
15225,6178.407
15226,6616.9585
15227,4522.001
15228,5390.4785
15229,5384.3574
15230,6740.5327
15231,4197.235
15232,5348.4365
15233,6146.6865
15234,5681.54
15235,6236.4717
15236,7881.7314
15237,4044.3828
15238,3715.1614
15239,4296.0884
15240,7757.804
15241,4140.0635
15242,6096.5874
15243,6948.5044
15244,5770.08
15245,6490.505
15246,4488.246
15247,7675.247
15248,6622.159
15249,5187.9395
15250,5412.075
15251,6286.6235
15252,5671.421
15253,4161.8047
15254,7291.6914
15255,5280.83
15256,5230.6826
15257,7983.208
15258,5894.1973
15259,5821.1626
15260,8165.9434
15261,6010.135
15262,5089.964
15263,6166.9688
15264,7238.1055
15265,7157.908
15266,5872.5127
15267,6394.962
15268,4789.663
15269,7949.8594
15270,2891.3926
15271,4754.583
15272,5813.082
15273,4987.734
15274,6032.0293
15275,8345.988
15276,6532.5303
15277,6138.708
15278,6762.2295
15279,6146.218
15280,7757.522
15281,4652.1265
15282,7386.718
15283,3102.1826
15284,3976.9556
15285,3674.3733
15286,7250.9346
15287,6357.0693
15288,5472.9795
15289,4727.2817
15290,6561.798
15291,3987.9758
15292,4659.8027
15293,6636.3926
15294,6813.0205
15295,6432.797
15296,7971.5547
15297,6868.4463
15298,5902.2495
15299,6407.1924
15300,4737.7773
15301,7692.3643
15302,6865.4863
15303,3550.9114
15304,6663.78
15305,7437.6406
15306,8115.5957
15307,6477.525
15308,5250.5854
15309,4637.5957
15310,5012.077
15311,7360.7275
15312,8434.959
15313,5239.4277
15314,6109.0703
15315,5610.1357
15316,6615.4395
15317,8365.674
15318,3079.21
15319,6166.2646
15320,5439.232
15321,5718.2373
15322,7613.134
15323,5258.271
15324,4173.3506
15325,7707.111
15326,5300.4526
15327,6260.8184
15328,4316.308
15329,6420.119
15330,6620.797
15331,4699.338
15332,4321.3037
15333,7667.243
15334,7316.1323
15335,5140.4824
15336,7419.746
15337,7668.3594
15338,6948.2188
15339,4134.9463
15340,6692.276
15341,5178.938
15342,5603.8213
15343,4476.298
15344,5175.3896
15345,7034.8633
15346,7247.2383
15347,3535.6018
15348,5808.4004
15349,7138.4824
15350,6261.6963
15351,5597.0347
15352,6159.784
15353,5642.95
15354,8017.87
15355,4822.873
15356,7777.575
15357,8051.327
15358,6680.0845
15359,5204.544
15360,6545.6895
15361,6749.0503
15362,7129.2334
15363,4229.8457
15364,5562.794
15365,4195.264
15366,6299.8154
15367,6805.2134
15368,6157.3267
15369,4700.6245
15370,7847.034
15371,7306.8574
15372,7190.17
15373,5706.504
15374,4261.2354
15375,6359.9556
15376,6905.215
15377,4636.885
15378,5464.1367
15379,5581.9854
15380,7438.512
15381,8358.588
15382,4315.173
15383,7752.9707
15384,4686.8984
15385,7225.948
15386,7212.145
15387,6478.579
15388,3535.1873
15389,4968.632
15390,5975.214
15391,6542.722
15392,6176.1025
15393,6184.202
15394,7560.0615
15395,7431.258
15396,5470.417
15397,7939.337
15398,6727.4316
15399,4848.063
15400,6617.7627
15401,6028.581
15402,4361.3496
15403,6830.6543
15404,6968.2656
15405,4721.6455
15406,7494.5703
15407,3774.2068
15408,4308.7827
15409,7387.4917
15410,5968.12
15411,6411.9077
15412,5259.4385
15413,4337.3037
15414,8347.793
15415,5540.9775
15416,6948.9043
15417,7155.2246
15418,6100.986
15419,6063.129
15420,7348.6724
15421,3815.0227
15422,7627.702
15423,4085.3503
15424,6142.1836
15425,7481.3867
15426,6396.0083
15427,8517.212
15428,3981.3376
15429,6092.565
15430,5842.17
15431,7115.283
15432,7405.2188
15433,6187.4873
15434,6245.4487
15435,7424.365
15436,3362.5203
15437,4799.0986
15438,4543.3027
15439,5686.354
15440,5592.593
15441,6006.3003
15442,6985.5156
15443,5852.0186
15444,6460.2295
15445,5525.4224
15446,5633.3325
15447,7745.423
15448,6591.1865
15449,4769.546
15450,7606.6924
15451,7273.684
15452,7629.2466
15453,7383.5347
15454,6426.6533
15455,7056.0337
15456,6839.1924
15457,3179.6125
15458,7684.9062
15459,8360.42
15460,6223.337
15461,7223.1963
15462,5680.1514
15463,6997.9814
15464,8092.9404
15465,3376.4626
15466,8160.1025
15467,4254.7803
15468,5686.03
15469,6755.5537
15470,5891.4077
15471,5366.1777
15472,8229.889
15473,7660.169
15474,8297.867
15475,4688.3574
15476,4906.0034
15477,7720.946
15478,4825.055
