Id,Category
1,68
2,33
3,38
4,29
5,38
6,52
7,13
8,38
9,76
10,38
11,63
12,67
13,62
14,57
15,26
16,38
17,31
18,59
19,38
20,45
21,38
22,53
23,58
24,75
25,22
26,50
27,64
28,38
29,38
30,38
31,38
32,38
33,44
34,25
35,68
36,38
37,25
38,68
39,38
40,36
41,75
42,22
43,40
44,62
45,32
46,38
47,36
48,64
49,36
50,38
51,26
52,38
53,53
54,15
55,45
56,38
57,0
58,38
59,36
60,36
61,62
62,22
63,30
64,38
65,36
66,21
67,38
68,50
69,62
70,64
71,68
72,38
73,12
74,38
75,38
76,38
77,50
78,42
79,56
80,76
81,22
82,38
83,40
84,60
85,36
86,38
87,55
88,48
89,35
90,36
91,12
92,33
93,45
94,42
95,65
96,58
97,38
98,22
99,26
100,38
101,38
102,0
103,36
104,70
105,32
106,51
107,62
108,1
109,12
110,1
111,10
112,38
113,76
114,56
115,38
116,12
117,38
118,76
119,12
120,68
121,36
122,65
123,27
124,18
125,54
126,22
127,38
128,76
129,38
130,45
131,64
132,76
133,33
134,76
135,62
136,38
137,36
138,62
139,20
140,46
141,51
142,8
143,12
144,33
145,68
146,58
147,76
148,10
149,62
150,50
151,38
152,66
153,15
154,38
155,28
156,5
157,26
158,38
159,38
160,44
161,52
162,19
163,31
164,8
165,38
166,57
167,43
168,58
169,75
170,27
171,38
172,48
173,36
174,35
175,44
176,15
177,58
178,38
179,38
180,76
181,63
182,38
183,61
184,76
185,38
186,68
187,38
188,38
189,48
190,59
191,76
192,38
193,31
194,20
195,68
196,62
197,38
198,26
199,36
200,36
201,60
202,18
203,68
204,38
205,28
206,38
207,63
208,38
209,38
210,62
211,55
212,73
213,64
214,62
215,10
216,38
217,38
218,76
219,50
220,36
221,60
222,64
223,50
224,48
225,45
226,38
227,62
228,38
229,62
230,60
231,38
232,66
233,36
234,38
235,36
236,38
237,61
238,7
239,54
240,38
241,36
242,40
243,0
244,62
245,67
246,68
247,18
248,38
249,40
250,2
251,39
252,22
253,76
254,37
255,52
256,76
257,64
258,39
259,22
260,68
261,71
262,12
263,54
264,34
265,22
266,36
267,9
268,6
269,55
270,38
271,36
272,76
273,7
274,12
275,38
276,62
277,36
278,64
279,73
280,38
281,38
282,41
283,57
284,31
285,38
286,50
287,38
288,48
289,6
290,68
291,7
292,26
293,38
294,38
295,38
296,48
297,63
298,77
299,68
300,31
301,38
302,54
303,38
304,36
305,36
306,61
307,38
308,38
309,38
310,38
311,3
312,61
313,36
314,64
315,33
316,31
317,43
318,6
319,36
320,12
321,33
322,38
323,67
324,48
325,64
326,27
327,38
328,40
329,38
330,67
331,38
332,31
333,33
334,2
335,37
336,36
337,6
338,36
339,38
340,38
341,38
342,63
343,45
344,62
345,57
346,38
347,52
348,38
349,68
350,17
351,15
352,38
353,63
354,55
355,74
356,33
357,76
358,38
359,38
360,38
361,22
362,38
363,18
364,57
365,62
366,55
367,32
368,39
369,22
370,76
371,38
372,23
373,6
374,49
375,45
376,62
377,38
378,38
379,62
380,41
381,24
382,36
383,31
384,29
385,3
386,61
387,18
388,38
389,38
390,39
391,28
392,72
393,36
394,38
395,56
396,8
397,65
398,55
399,38
400,36
401,36
402,39
403,48
404,16
405,38
406,71
407,57
408,38
409,46
410,14
411,38
412,22
413,64
414,38
415,58
416,35
417,38
418,13
419,22
420,37
421,38
422,75
423,38
424,50
425,55
426,38
427,53
428,38
429,35
430,38
431,48
432,57
433,76
434,3
435,7
436,77
437,14
438,31
439,76
440,38
441,23
442,67
443,5
444,33
445,64
446,38
447,31
448,22
449,76
450,52
451,62
452,36
453,31
454,35
455,36
456,29
457,38
458,64
459,38
460,46
461,76
462,31
463,58
464,45
465,3
466,49
467,38
468,1
469,28
470,15
471,71
472,24
473,54
474,46
475,38
476,36
477,62
478,62
479,14
480,68
481,30
482,1
483,38
484,66
485,68
486,38
487,22
488,22
489,71
490,38
491,38
492,62
493,20
494,38
495,60
496,38
497,36
498,38
499,38
500,36
501,38
502,38
503,11
504,36
505,1
506,36
507,62
508,8
509,64
510,41
511,19
512,73
513,2
514,31
515,7
516,48
517,42
518,36
519,38
520,45
521,54
522,21
523,26
524,38
525,23
526,40
527,50
528,64
529,68
530,39
531,15
532,36
533,7
534,37
535,51
536,22
537,38
538,48
539,34
540,38
541,71
542,36
543,55
544,64
545,38
546,55
547,35
548,20
549,59
550,62
551,57
552,76
553,63
554,64
555,68
556,34
557,62
558,36
559,38
560,18
561,67
562,36
563,38
564,64
565,76
566,38
567,27
568,38
569,38
570,38
571,51
572,38
573,45
574,68
575,36
576,60
577,38
578,62
579,53
580,38
581,38
582,26
583,36
584,39
585,26
586,38
587,38
588,7
589,11
590,38
591,55
592,36
593,32
