index,category
0,7
1,1
2,4
3,7
4,4
5,0
6,2
7,0
8,3
9,3
10,3
11,1
12,1
13,1
14,7
15,0
16,0
17,0
18,0
19,2
20,1
21,8
22,1
23,0
24,1
25,0
26,1
27,2
28,3
29,8
30,6
31,7
32,8
33,1
34,1
35,0
36,1
37,1
38,8
39,8
40,7
41,4
42,0
43,0
44,2
45,0
46,6
47,8
48,1
49,6
50,3
51,3
52,1
53,1
54,0
55,3
56,4
57,6
58,2
59,3
60,1
61,1
62,3
63,1
64,1
65,1
66,3
67,1
68,1
69,1
70,0
71,6
72,3
73,3
74,0
75,7
76,8
77,4
78,0
79,3
80,8
81,6
82,0
83,0
84,1
85,0
86,8
87,0
88,0
89,8
90,0
91,0
92,0
93,0
94,3
95,1
96,8
97,4
98,3
99,7
100,6
101,0
102,2
103,3
104,6
105,0
106,1
107,3
108,0
109,0
110,0
111,1
112,1
113,0
114,3
115,1
116,1
117,0
118,4
119,7
120,7
121,0
122,6
123,1
124,1
125,3
126,6
127,3
128,8
129,4
130,4
131,0
132,2
133,0
134,0
135,0
136,7
137,7
138,1
139,3
140,0
141,0
142,0
143,4
144,3
145,3
146,3
147,0
148,4
149,2
150,0
151,1
152,0
153,1
154,7
155,0
156,2
157,1
158,2
159,4
160,3
161,0
162,0
163,0
164,0
165,3
166,3
167,0
168,1
169,6
170,7
171,2
172,1
173,1
174,1
175,3
176,0
177,7
178,1
179,0
180,0
181,3
182,0
183,0
184,2
185,4
186,2
187,0
188,3
189,8
190,0
191,8
192,0
193,4
194,3
195,7
196,0
197,0
198,2
199,6
200,0
201,1
202,1
203,0
204,2
205,7
206,1
207,1
208,7
209,2
210,1
211,6
212,4
213,1
214,0
215,3
216,3
217,0
218,2
219,3
220,3
221,2
222,1
223,3
224,4
225,4
226,0
227,6
228,1
229,1
230,1
231,0
232,1
233,7
234,8
235,0
236,6
237,1
238,3
239,0
240,0
241,0
242,1
243,8
244,2
245,6
246,0
247,3
248,0
249,4
250,7
251,1
252,0
253,2
254,2
255,0
256,3
257,8
258,4
259,1
260,0
261,0
262,3
263,3
264,0
265,2
266,7
267,6
268,8
269,0
270,3
271,4
272,4
273,2
274,3
275,3
276,8
277,2
278,0
279,3
280,0
281,2
282,6
283,4
284,7
285,0
286,2
287,7
288,4
289,2
290,1
291,8
292,7
293,0
294,1
295,0
296,0
297,0
298,0
299,1
300,3
301,8
302,1
303,0
304,0
305,2
306,8
307,7
308,1
309,0
310,3
311,8
312,4
313,3
314,0
315,0
316,3
317,4
318,3
319,0
320,0
321,7
322,1
323,6
324,1
325,3
326,0
327,0
328,4
329,7
330,0
331,8
332,1
333,0
334,7
335,2
336,0
337,1
338,8
339,8
340,4
341,3
342,0
343,7
344,2
345,7
346,1
347,4
348,1
349,0
350,8
351,2
352,4
353,1
354,2
355,0
356,2
357,0
358,1
359,0
360,4
361,3
362,1
363,4
364,3
365,8
366,3
367,1
368,4
369,8
370,4
371,4
372,6
373,0
374,4
375,0
376,8
377,7
378,1
379,6
380,8
381,3
382,3
383,7
384,0
385,0
386,7
387,1
388,1
389,3
390,3
391,4
392,1
393,0
394,3
395,0
396,3
397,0
398,4
399,3
400,6
401,1
402,1
403,3
404,1
405,4
406,0
407,4
408,2
409,1
410,1
411,1
412,7
413,7
414,1
415,1
416,3
417,0
418,1
419,1
420,0
421,1
422,1
423,0
424,0
425,1
426,0
427,0
428,6
429,0
430,7
431,1
432,0
433,1
434,0
435,2
436,6
437,8
438,7
439,1
440,8
441,8
442,2
443,0
444,6
445,2
446,0
447,2
448,2
449,0
450,0
451,2
452,1
453,1
454,1
455,2
456,4
457,7
458,3
459,0
460,0
461,2
462,1
463,0
464,1
465,0
466,2
467,2
468,0
469,1
470,8
471,0
472,8
473,0
474,7
475,4
476,7
477,0
478,0
479,8
480,0
481,0
482,1
483,7
484,2
485,1
486,1
487,4
488,3
489,0
490,0
491,4
492,4
493,0
494,0
495,6
496,0
497,2
498,0
499,2
500,8
501,0
502,1
503,1
504,7
505,8
506,6
507,4
508,1
509,0
510,8
511,1
512,1
513,1
514,1
515,1
516,7
517,1
518,3
519,0
520,2
521,2
522,0
523,2
524,1
525,0
526,0
527,0
528,1
529,1
530,3
531,7
532,0
533,2
534,0
535,3
536,0
537,0
538,6
539,4
540,0
541,7
542,1
543,1
544,8
545,2
546,7
547,6
548,1
549,0
550,0
551,1
552,8
553,7
554,4
555,3
556,1
557,0
558,2
559,0
560,0
561,7
562,3
563,0
564,0
565,3
566,0
567,0
568,2
569,8
570,2
571,0
572,0
573,2
574,0
575,0
576,3
577,4
578,1
579,1
580,1
581,1
582,8
583,7
584,7
585,7
586,8
587,4
588,3
589,4
590,4
591,4
592,6
593,0
594,8
595,8
596,0
597,1
598,0
599,0
600,1
601,0
602,6
603,1
604,2
605,0
606,1
607,0
608,2
609,3
610,1
611,2
612,3
613,1
614,6
615,2
616,1
617,1
618,0
619,1
620,0
621,0
622,0
623,4
624,2
625,4
626,0
627,1
628,0
629,3
630,3
631,6
632,1
633,4
634,6
635,4
636,1
637,0
638,2
639,8
640,2
641,8
642,0
643,7
644,0
645,7
646,8
647,1
648,1
649,1
650,1
651,8
652,2
653,3
654,3
655,1
656,7
657,2
658,3
659,3
660,3
661,4
662,0
663,0
664,7
665,3
666,4
667,0
668,1
669,2
670,0
671,7
672,0
673,6
674,1
675,1
676,0
677,8
678,7
679,7
680,8
681,2
682,7
683,8
684,3
685,1
686,2
687,1
688,2
689,2
690,8
691,0
692,7
693,1
694,2
695,2
696,0
697,3
698,0
699,7
700,7
701,0
702,3
703,8
704,1
705,1
706,7
707,1
708,0
709,0
710,1
711,1
712,7
713,7
714,6
715,1
716,1
717,7
718,0
719,6
720,1
721,3
722,4
723,1
724,1
725,1
726,1
727,0
728,2
729,0
730,2
731,4
732,1
733,0
734,4
735,1
736,0
737,3
738,8
739,2
740,1
741,3
742,0
743,8
744,3
745,6
746,3
747,0
748,7
749,2
750,0
751,8
752,8
753,0
754,1
755,3
756,3
757,0
758,7
759,0
760,4
761,0
762,0
763,0
764,6
765,2
766,0
767,7
768,7
769,8
770,6
771,6
772,0
773,3
774,2
775,3
776,0
777,0
778,0
779,7
780,2
781,0
782,1
783,1
784,1
785,1
786,4
787,8
788,1
789,7
790,0
791,7
792,7
793,1
794,0
795,8
796,0
797,1
798,6
799,2
800,0
801,3
802,6
803,8
804,1
805,2
806,3
807,4
808,1
809,6
810,0
811,3
812,2
813,1
814,3
815,0
816,3
817,0
818,7
819,1
820,7
821,7
822,8
823,1
824,1
825,1
826,6
827,7
828,2
829,1
830,2
831,1
832,3
833,2
834,6
835,6
836,0
837,7
838,6
839,2
840,8
841,3
842,2
843,0
844,1
845,1
846,7
847,4
848,0
849,8
850,1
851,6
852,1
853,6
854,0
855,3
856,3
857,1
858,6
859,1
860,6
861,8
862,4
863,8
864,7
865,8
866,1
867,4
868,1
869,0
870,2
871,7
872,0
873,1
874,0
875,1
876,4
877,1
878,8
879,2
880,1
881,1
882,4
883,1
884,7
885,4
886,7
887,8
888,1
889,0
890,7
891,1
892,3
893,3
894,2
895,4
896,0
897,0
898,2
899,8
900,6
901,8
902,8
903,3
904,0
905,2
906,7
907,7
908,2
909,1
910,0
911,8
912,0
913,1
914,1
915,1
916,2
917,0
918,0
919,4
920,6
921,8
922,4
923,2
924,3
925,0
926,0
927,1
928,3
929,4
930,0
931,7
932,1
933,0
934,3
935,2
936,3
937,4
938,0
939,3
940,0
941,0
942,4
943,2
944,1
945,7
946,1
947,2
948,0
949,7
950,1
951,0
952,8
953,2
954,2
955,3
956,0
957,0
958,8
959,1
960,1
961,4
962,2
963,4
964,3
965,1
966,0
967,6
968,0
969,6
970,6
971,3
972,0
973,0
974,1
975,7
976,0
977,1
978,2
979,2
980,8
981,7
982,1
983,2
984,4
985,0
986,7
987,4
988,7
989,2
990,2
991,0
992,0
993,1
994,0
995,1
996,8
997,0
998,7
999,0
1000,8
1001,0
1002,6
1003,0
1004,4
1005,0
1006,0
1007,7
1008,1
1009,2
1010,2
1011,2
1012,0
1013,1
1014,2
1015,6
1016,7
1017,3
1018,6
1019,0
1020,6
1021,7
1022,3
1023,2
1024,1
1025,8
1026,1
1027,2
1028,3
1029,1
1030,1
1031,4
1032,3
1033,3
1034,6
1035,0
1036,0
1037,1
1038,6
1039,2
1040,1
1041,0
1042,1
1043,1
1044,2
1045,0
1046,1
1047,2
1048,6
1049,7
1050,3
1051,1
1052,0
1053,1
1054,4
1055,4
1056,0
1057,3
1058,6
1059,8
1060,1
1061,4
1062,1
1063,0
1064,2
1065,0
1066,2
1067,3
1068,6
1069,2
1070,1
1071,4
1072,0
1073,7
1074,1
1075,1
1076,3
1077,3
1078,1
1079,3
1080,1
1081,0
1082,3
1083,1
1084,4
1085,1
1086,1
1087,8
1088,0
1089,3
1090,1
1091,1
1092,7
1093,7
1094,8
1095,1
1096,0
1097,4
1098,0
1099,8
1100,8
1101,1
1102,1
1103,1
1104,6
1105,7
1106,0
1107,0
1108,1
1109,3
1110,6
1111,3
1112,0
1113,1
1114,3
1115,0
1116,0
1117,0
1118,4
1119,0
1120,2
1121,0
1122,8
1123,1
1124,1
1125,7
1126,4
1127,7
1128,3
1129,3
1130,0
1131,1
1132,6
1133,0
1134,4
1135,0
1136,2
1137,7
1138,0
1139,0
1140,7
1141,1
1142,6
1143,2
1144,1
1145,0
1146,1
1147,0
1148,1
1149,0
1150,4
1151,7
1152,4
1153,1
1154,3
1155,0
1156,3
1157,6
1158,6
1159,3
1160,1
1161,2
1162,2
1163,0
1164,3
1165,6
1166,0
1167,8
1168,4
1169,8
1170,3
1171,4
1172,1
1173,2
1174,3
1175,7
1176,1
1177,7
1178,1
1179,7
1180,4
1181,6
1182,6
1183,6
1184,0
1185,1
1186,6
1187,2
1188,3
1189,8
1190,3
1191,7
1192,1
1193,3
1194,6
1195,0
1196,0
1197,8
1198,0
1199,4
1200,8
1201,8
1202,3
1203,6
1204,1
1205,6
1206,7
1207,1
1208,3
1209,0
1210,3
1211,4
1212,4
1213,0
1214,6
1215,1
1216,7
1217,0
1218,3
1219,1
1220,6
1221,3
1222,0
1223,8
1224,7
1225,1
1226,7
1227,8
1228,1
1229,6
1230,4
1231,2
1232,6
1233,4
1234,4
1235,3
1236,0
1237,4
1238,7
1239,0
1240,6
1241,2
1242,3
1243,0
1244,2
1245,0
1246,0
1247,1
1248,2
1249,7
1250,1
1251,1
1252,0
1253,7
1254,0
1255,3
1256,6
1257,6
1258,6
1259,7
1260,4
1261,1
1262,4
1263,2
1264,0
1265,7
1266,3
1267,7
1268,2
1269,3
1270,7
1271,7
1272,4
1273,0
1274,0
1275,8
1276,8
1277,1
1278,4
1279,0
1280,1
1281,4
1282,3
1283,3
1284,7
1285,7
1286,0
1287,2
1288,1
1289,3
1290,6
1291,1
1292,2
1293,1
1294,2
1295,1
1296,2
1297,8
1298,0
1299,1
1300,0
1301,7
1302,7
1303,7
1304,1
1305,2
1306,6
1307,7
1308,7
1309,1
1310,4
1311,3
1312,7
1313,3
1314,3
1315,0
1316,1
1317,3
1318,2
1319,1
1320,3
1321,7
1322,0
1323,1
1324,0
1325,3
1326,0
1327,6
1328,4
1329,1
1330,3
1331,1
1332,4
1333,1
1334,2
1335,2
1336,1
1337,3
1338,0
1339,2
1340,1
1341,0
1342,3
1343,7
1344,3
1345,1
1346,0
1347,6
1348,7
1349,2
1350,0
1351,3
1352,4
1353,1
1354,1
1355,0
1356,0
1357,0
1358,3
1359,0
1360,2
1361,0
1362,4
1363,3
1364,1
1365,0
1366,0
1367,4
1368,4
1369,2
1370,4
1371,6
1372,4
1373,3
1374,0
1375,1
1376,0
1377,8
1378,0
1379,0
1380,0
1381,1
1382,1
1383,2
1384,2
1385,0
1386,0
1387,4
1388,4
1389,8
1390,6
1391,0
1392,0
1393,0
1394,6
1395,0
1396,1
1397,1
1398,3
1399,4
1400,7
1401,8
1402,2
1403,1
1404,1
1405,8
1406,8
1407,3
1408,0
1409,4
1410,0
1411,0
1412,3
1413,4
1414,4
1415,1
1416,0
1417,4
1418,0
1419,2
1420,2
1421,4
1422,8
1423,7
1424,2
1425,2
1426,1
1427,7
1428,7
1429,0
1430,8
1431,6
1432,0
1433,0
1434,7
1435,0
1436,1
1437,4
1438,1
1439,1
1440,1
1441,3
1442,4
1443,2
1444,4
1445,6
1446,1
1447,1
1448,0
1449,7
1450,3
1451,0
1452,0
1453,1
1454,1
1455,4
1456,4
1457,1
1458,1
1459,6
1460,0
1461,1
1462,1
1463,1
1464,1
1465,2
1466,7
1467,2
1468,4
1469,3
1470,2
1471,6
1472,0
1473,8
1474,2
1475,3
1476,1
1477,4
1478,1
1479,8
1480,7
1481,0
1482,6
1483,0
1484,3
1485,3
1486,0
1487,1
1488,0
1489,1
1490,0
1491,1
1492,0
1493,4
1494,0
1495,1
1496,2
1497,2
1498,3
1499,2
1500,0
1501,2
1502,1
1503,8
1504,8
1505,6
1506,7
1507,8
1508,6
1509,7
1510,8
1511,0
1512,3
1513,0
1514,7
1515,0
1516,3
1517,0
1518,0
1519,3
1520,1
1521,6
1522,1
1523,0
1524,3
1525,4
1526,4
1527,2
1528,0
1529,0
1530,0
1531,4
1532,7
1533,0
1534,1
1535,2
1536,2
1537,2
1538,1
1539,1
1540,0
1541,8
1542,4
1543,7
1544,0
1545,6
1546,1
1547,0
1548,8
1549,7
1550,0
1551,4
1552,0
1553,1
1554,2
1555,2
1556,4
1557,1
1558,1
1559,0
1560,2
1561,8
1562,1
1563,7
1564,1
1565,3
1566,7
1567,2
1568,0
1569,1
1570,0
1571,4
1572,8
1573,2
1574,3
1575,0
1576,2
1577,4
1578,2
1579,1
1580,3
1581,0
1582,4
1583,1
1584,0
1585,7
1586,4
1587,1
1588,7
1589,3
1590,0
1591,0
1592,1
1593,1
1594,0
1595,0
1596,7
1597,1
1598,0
1599,6
1600,0
1601,7
1602,7
1603,0
1604,7
1605,1
1606,3
1607,2
1608,1
1609,0
1610,0
1611,7
1612,7
1613,1
1614,1
1615,0
1616,1
1617,8
1618,1
1619,2
1620,6
1621,4
1622,1
1623,3
1624,0
1625,1
1626,3
1627,0
1628,4
1629,1
1630,0
1631,1
1632,6
1633,4
1634,3
1635,1
1636,0
1637,0
1638,0
1639,0
1640,2
1641,3
1642,2
1643,2
1644,1
1645,4
1646,1
1647,4
1648,8
1649,8
1650,7
1651,7
1652,2
1653,1
1654,7
1655,4
1656,0
1657,7
1658,1
1659,0
1660,0
1661,6
1662,8
1663,0
1664,0
1665,8
1666,7
1667,8
1668,0
1669,7
1670,3
1671,6
1672,3
1673,3
1674,1
1675,0
1676,4
1677,8
1678,1
1679,2
1680,3
1681,0
1682,1
1683,8
1684,0
1685,0
1686,7
1687,0
1688,1
1689,4
1690,0
1691,7
1692,0
1693,3
1694,2
1695,0
1696,0
1697,4
1698,0
1699,0
1700,0
1701,3
1702,3
1703,4
1704,3
1705,7
1706,2
1707,6
1708,0
1709,7
1710,2
1711,1
1712,0
1713,0
1714,2
1715,1
1716,2
1717,1
1718,7
1719,1
1720,2
1721,1
1722,3
1723,1
1724,3
1725,4
1726,0
1727,0
1728,4
1729,1
1730,2
1731,7
1732,1
1733,3
1734,3
1735,0
1736,0
1737,8
1738,4
1739,2
1740,8
1741,1
1742,0
1743,6
1744,2
1745,3
1746,7
1747,0
1748,0
1749,2
1750,1
1751,1
1752,1
1753,1
1754,6
1755,0
1756,8
1757,0
1758,0
1759,3
1760,0
1761,4
1762,8
1763,0
1764,0
1765,1
1766,4
1767,1
1768,4
1769,1
1770,1
1771,3
1772,0
1773,2
1774,1
1775,0
1776,0
1777,4
1778,3
1779,7
1780,1
1781,3
1782,4
1783,1
1784,4
1785,8
1786,8
1787,0
1788,8
1789,0
1790,3
1791,0
1792,2
1793,1
1794,0
1795,0
1796,0
1797,3
1798,4
1799,4
1800,1
1801,2
1802,1
1803,0
1804,3
1805,2
1806,0
1807,2
1808,1
1809,0
1810,1
1811,7
1812,7
1813,0
1814,0
1815,0
1816,8
1817,4
1818,3
1819,7
1820,2
1821,6
1822,8
1823,6
1824,4
1825,0
1826,8
1827,3
1828,0
1829,7
1830,1
1831,7
1832,1
1833,2
1834,6
1835,2
1836,3
1837,1
1838,0
1839,0
1840,0
1841,1
1842,1
1843,6
1844,4
1845,4
1846,1
1847,3
1848,8
1849,0
1850,7
1851,2
1852,0
1853,3
1854,4
1855,6
1856,7
1857,1
1858,7
1859,6
1860,7
1861,2
1862,7
1863,8
1864,3
1865,0
1866,1
1867,8
1868,7
1869,7
1870,0
1871,8
1872,7
1873,7
1874,0
1875,6
1876,1
1877,4
1878,8
1879,0
1880,8
1881,2
1882,7
1883,1
1884,3
1885,3
1886,1
1887,3
1888,3
1889,1
1890,3
1891,4
1892,0
1893,7
1894,6
